stevilka,lastnik
1,812
2,790
3,517
4,140
5,204
6,114
7,706
8,673
9,666
10,222
11,429
12,562
13,895
14,905
15,982
16,109
17,468
18,650
19,481
20,95
21,822
22,6
23,288
24,118
25,199
26,514
27,805
28,496
29,256
30,98
31,671
32,505
33,429
34,237
35,545
36,681
37,399
38,825
39,172
40,834
41,203
42,943
43,981
44,856
45,928
46,417
47,570
48,32
49,574
50,498
51,813
52,86
53,381
54,575
55,140
56,409
57,175
58,164
59,864
60,297
61,627
62,367
63,327
64,902
65,59
66,52
67,581
68,12
69,794
70,317
71,186
72,347
73,973
74,987
75,596
76,259
77,141
78,880
79,262
80,471
81,970
82,267
83,332
84,318
85,752
86,387
87,204
88,764
89,319
90,934
91,595
92,449
93,84
94,494
95,978
96,476
97,583
98,322
99,212
100,257
101,406
102,389
103,692
104,210
105,759
106,307
107,687
108,266
109,155
110,245
111,799
112,91
113,962
114,169
115,505
116,111
117,654
118,388
119,766
120,350
121,575
122,447
123,503
124,665
125,309
126,360
127,521
128,372
129,429
130,640
131,301
132,568
133,397
134,798
135,278
136,99
137,585
138,495
139,418
140,769
141,754
142,800
143,35
144,834
145,827
146,638
147,743
148,350
149,688
150,983
151,579
152,80
153,591
154,16
155,784
156,66
157,405
158,396
159,764
160,306
161,828
162,826
163,2
164,263
165,960
166,726
167,910
168,196
169,98
170,496
171,203
172,781
173,670
174,244
175,505
176,771
177,258
178,363
179,625
180,311
181,293
182,265
183,921
184,902
185,382
186,229
187,704
188,80
189,620
190,79
191,135
192,52
193,668
194,480
195,494
196,648
197,993
198,448
199,373
200,258
201,759
202,128
203,203
204,658
205,720
206,392
207,655
208,473
209,297
210,741
211,533
212,371
213,441
214,809
215,233
216,161
217,669
218,599
219,90
220,967
221,856
222,652
223,609
224,959
225,921
226,771
227,894
228,622
229,177
230,384
231,844
232,105
233,22
234,770
235,900
236,686
237,875
238,859
239,823
240,141
241,606
242,494
243,822
244,722
245,345
246,368
247,126
248,893
249,387
250,439
251,178
252,335
253,834
254,340
255,798
256,631
257,128
258,291
259,582
260,997
261,698
262,7
263,346
264,389
265,360
266,937
267,295
268,206
269,632
270,95
271,459
272,717
273,83
274,208
275,69
276,730
277,139
278,136
279,412
280,162
281,949
282,202
283,540
284,696
285,33
286,511
287,813
288,556
289,191
290,843
291,150
292,743
293,510
294,327
295,311
296,268
297,698
298,76
299,107
300,454
301,465
302,934
303,133
304,906
305,271
306,388
307,700
308,690
309,439
310,693
311,741
312,821
313,109
314,549
315,351
316,423
317,39
318,105
319,211
320,483
321,595
322,425
323,942
324,24
325,426
326,104
327,768
328,945
329,693
330,799
331,890
332,371
333,684
334,430
335,328
336,675
337,836
338,177
339,649
340,88
341,191
342,205
343,835
344,781
345,301
346,179
347,46
348,749
349,795
350,135
351,675
352,597
353,397
354,595
355,641
356,208
357,130
358,6
359,439
360,380
361,610
362,317
363,798
364,340
365,466
366,520
367,202
368,563
369,539
370,244
371,232
372,57
373,492
374,834
375,866
376,487
377,392
378,341
379,787
380,881
381,302
382,809
383,669
384,570
385,949
386,47
387,963
388,367
389,5
390,420
391,460
392,386
393,205
394,453
395,573
396,923
397,534
398,737
399,271
400,1
401,315
402,917
403,566
404,319
405,336
406,484
407,855
408,228
409,298
410,637
411,457
412,796
413,804
414,165
415,734
416,109
417,259
418,442
419,17
420,129
421,633
422,930
423,833
424,591
425,373
426,204
427,560
428,64
429,618
430,459
431,634
432,582
433,998
434,407
435,972
436,678
437,608
438,170
439,470
440,436
441,449
442,844
443,781
444,38
445,615
446,106
447,967
448,525
449,32
450,314
451,727
452,609
453,282
454,654
455,469
456,526
457,954
458,383
459,331
460,463
461,409
462,73
463,154
464,685
465,851
466,31
467,482
468,523
469,749
470,997
471,145
472,295
473,189
474,735
475,506
476,425
477,812
478,802
479,746
480,564
481,648
482,804
483,825
484,207
485,259
486,282
487,444
488,906
489,13
490,397
491,765
492,777
493,908
494,683
495,582
496,486
497,787
498,833
499,319
500,647
501,219
502,987
503,821
504,13
505,324
506,212
507,631
508,610
509,78
510,827
511,857
512,459
513,164
514,311
515,651
516,401
517,239
518,217
519,114
520,355
521,769
522,565
523,360
524,590
525,949
526,904
527,377
528,558
529,650
530,902
531,37
532,842
533,719
534,375
535,700
536,756
537,652
538,419
539,362
540,167
541,408
542,477
543,330
544,629
545,562
546,263
547,470
548,159
549,940
550,8
551,630
552,331
553,501
554,755
555,364
556,734
557,856
558,361
559,5
560,735
561,87
562,204
563,99
564,927
565,634
566,376
567,964
568,157
569,203
570,176
571,316
572,587
573,324
574,188
575,69
576,976
577,721
578,703
579,14
580,704
581,25
582,266
583,213
584,128
585,422
586,862
587,58
588,665
589,566
590,131
591,216
592,951
593,667
594,13
595,67
596,205
597,8
598,310
599,574
600,311
601,118
602,966
603,699
604,707
605,962
606,608
607,401
608,220
609,206
610,710
611,969
612,894
613,743
614,783
615,739
616,56
617,62
618,26
619,851
620,210
621,40
622,726
623,407
624,751
625,584
626,857
627,56
628,621
629,688
630,354
631,33
632,18
633,902
634,438
635,377
636,816
637,6
638,170
639,678
640,529
641,311
642,67
643,109
644,14
645,939
646,44
647,795
648,368
649,884
650,95
651,643
652,534
653,318
654,11
655,625
656,876
657,967
658,357
659,933
660,803
661,437
662,999
663,549
664,51
665,952
666,35
667,710
668,974
669,785
670,901
671,658
672,640
673,940
674,466
675,590
676,884
677,662
678,758
679,289
680,693
681,361
682,624
683,427
684,433
685,776
686,338
687,697
688,627
689,850
690,115
691,154
692,416
693,181
694,945
695,885
696,224
697,923
698,645
699,757
700,743
701,69
702,343
703,131
704,703
705,30
706,60
707,667
708,728
709,311
710,290
711,254
712,937
713,178
714,198
715,513
716,983
717,391
718,323
719,134
720,263
721,193
722,922
723,917
724,903
725,420
726,974
727,920
728,302
729,154
730,222
731,229
732,125
733,152
734,349
735,638
736,316
737,265
738,260
739,844
740,258
741,585
742,124
743,206
744,995
745,873
746,610
747,590
748,436
749,134
750,782
751,237
752,20
753,762
754,210
755,266
756,764
757,708
758,663
759,379
760,631
761,138
762,791
763,53
764,141
765,599
766,991
767,66
768,715
769,115
770,950
771,285
772,522
773,198
774,338
775,833
776,167
777,120
778,50
779,596
780,235
781,464
782,511
783,567
784,92
785,1
786,305
787,886
788,49
789,622
790,152
791,114
792,133
793,537
794,455
795,995
796,691
797,634
798,150
799,863
800,151
801,606
802,23
803,73
804,211
805,780
806,218
807,497
808,337
809,551
810,223
811,494
812,611
813,143
814,261
815,190
816,751
817,707
818,139
819,242
820,253
821,464
822,409
823,40
824,708
825,646
826,846
827,32
828,609
829,667
830,850
831,636
832,492
833,652
834,94
835,72
836,92
837,386
838,339
839,382
840,161
841,134
842,865
843,263
844,960
845,700
846,301
847,223
848,781
849,616
850,823
851,891
852,52
853,566
854,562
855,410
